CountryID,Country and area,latest year available,Marine protected areas (% of territorial waters)
,World Total,2018,11.4
8,Albania,2018,2.7
12,Algeria,2018,0.1
16,American Samoa,2018,8.7
24,Angola,2018,0.0
28,Antigua and Barbuda,2018,0.2
32,Argentina,2018,3.8
533,Aruba,2018,0.0
36,Australia,2018,40.6
31,Azerbaijan,2018,0.4
44,Bahamas,2018,7.9
48,Bahrain,2018,1.2
50,Bangladesh,2018,5.4
52,Barbados,2018,0.0
56,Belgium,2018,36.7
84,Belize,2018,10.1
204,Benin,2018,0.0
60,Bermuda,2018,0.0
70,Bosnia and Herzegovina,2018,0.0
76,Brazil,2018,26.6
92,British Virgin Islands,2018,0.0
96,Brunei Darussalam,2018,0.2
100,Bulgaria,2018,8.1
132,Cabo Verde,2018,0.0
116,Cambodia,2018,0.2
120,Cameroon,2018,3.4
124,Canada,2018,0.9
136,Cayman Islands,2018,0.1
152,Chile,2018,28.8
156,China,2018,5.4
170,Colombia,2018,17.1
174,Comoros,2018,0.0
178,Congo,2018,3.2
188,Costa Rica,2018,0.8
384,Côte d’Ivoire,2018,0.1
191,Croatia,2018,8.5
192,Cuba,2018,4.3
531,Curaçao,2018,0.0
196,Cyprus,2018,0.1
408,Democratic People's Republic of Korea,2018,0.0
180,Democratic Republic of the Congo,2018,0.2
208,Denmark,2018,17.8
262,Djibouti,2018,0.2
212,Dominica,2018,0.1
214,Dominican Republic,2018,18.0
218,Ecuador,2018,13.3
818,Egypt,2018,5.0
222,El Salvador,2018,0.7
226,Equatorial Guinea,2018,0.2
232,Eritrea,2018,0.0
233,Estonia,2018,18.6
234,Faeroe Islands,2018,0.0
242,Fiji,2018,0.9
246,Finland,2018,10.5
250,France,2018,45.0
258,French Polynesia,2018,0.0
266,Gabon,2018,28.8
270,Gambia,2018,0.1
268,Georgia,2018,0.7
276,Germany,2018,45.4
288,Ghana,2018,0.1
292,Gibraltar,2018,12.8
300,Greece,2018,4.5
304,Greenland,2018,4.5
308,Grenada,2018,0.1
316,Guam,2018,0.0
320,Guatemala,2018,0.9
324,Guinea,2018,0.5
624,Guinea-Bissau,2018,10.0
328,Guyana,2018,0.0
332,Haiti,2018,0.0
340,Honduras,2018,4.2
352,Iceland,2018,0.4
356,India,2018,0.2
360,Indonesia,2018,3.1
364,Iran (Islamic Republic of),2018,0.8
368,Iraq,2018,0.0
372,Ireland,2018,2.3
376,Israel,2018,0.0
380,Italy,2018,8.8
388,Jamaica,2018,0.8
392,Japan,2018,8.2
400,Jordan,2018,35.6
398,Kazakhstan,2018,1.0
404,Kenya,2018,0.8
296,Kiribati,2018,11.8
414,Kuwait,2018,1.5
428,Latvia,2018,16.0
422,Lebanon,2018,0.2
430,Liberia,2018,0.1
434,Libya,2018,0.6
440,Lithuania,2018,25.6
450,Madagascar,2018,0.7
458,Malaysia,2018,1.5
462,Maldives,2018,0.1
470,Malta,2018,6.3
584,Marshall Islands,2018,0.3
478,Mauritania,2018,4.2
480,Mauritius,2018,0.0
484,Mexico,2018,21.8
583,Micronesia (Federated States of),2018,0.0
492,Monaco,2018,99.8
499,Montenegro,2018,0.0
504,Morocco,2018,0.3
508,Mozambique,2018,2.2
104,Myanmar,2018,2.3
516,Namibia,2018,1.7
528,Netherlands,2018,26.7
540,New Caledonia,2018,96.6
554,New Zealand,2018,30.4
558,Nicaragua,2018,3.0
566,Nigeria,2018,0.0
580,Northern Mariana Islands,2018,33.3
578,Norway,2018,0.8
512,Oman,2018,0.1
586,Pakistan,2018,0.8
585,Palau,2018,83.0
591,Panama,2018,1.7
598,Papua New Guinea,2018,0.2
604,Peru,2018,0.5
608,Philippines,2018,1.2
616,Poland,2018,22.6
620,Portugal,2018,16.6
630,Puerto Rico,2018,1.7
634,Qatar,2018,1.7
410,Republic of Korea,2018,1.6
642,Romania,2018,23.1
643,Russian Federation,2018,3.0
659,Saint Kitts and Nevis,2018,0.2
662,Saint Lucia,2018,0.2
663,Saint Martin (French Part),2018,96.4
670,Saint Vincent and the Grenadines,2018,0.2
882,Samoa,2018,0.1
678,Sao Tome and Principe,2018,0.0
682,Saudi Arabia,2018,2.5
686,Senegal,2018,1.1
690,Seychelles,2018,0.0
694,Sierra Leone,2018,0.5
702,Singapore,2018,0.0
534,Sint Maarten (Dutch part),2018,8.7
705,Slovenia,2018,213.4
90,Solomon Islands,2018,0.1
710,South Africa,2018,12.1
724,Spain,2018,8.4
144,Sri Lanka,2018,0.1
729,Sudan,2018,16.0
740,Suriname,2018,1.5
752,Sweden,2018,15.2
760,Syrian Arab Republic,2018,0.2
764,Thailand,2018,1.9
626,Timor-Leste,2018,1.4
768,Togo,2018,0.2
776,Tonga,2018,1.5
780,Trinidad and Tobago,2018,0.0
788,Tunisia,2018,1.0
792,Turkey,2018,0.1
795,Turkmenistan,2018,3.0
796,Turks and Caicos Islands,2018,0.1
798,Tuvalu,2018,0.0
804,Ukraine,2018,3.4
784,United Arab Emirates,2018,11.3
826,United Kingdom of Great Britain and Northern Ireland,2018,28.9
834,United Republic of Tanzania,2018,3.0
840,United States of America,2018,41.1
850,United States Virgin Islands,2018,0.9
858,Uruguay,2018,0.7
548,Vanuatu,2018,0.0
862,Venezuela (Bolivarian Republic of),2018,3.5
704,Viet Nam,2018,0.6
887,Yemen,2018,0.5
