CountryID,Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
218,Ecuador,...,...,...,...,...,...,...,...,...,...,7341,10774,14462,21446,29890,28390,26884,39937,56459,73000,76504,...,...,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,
398,Kazakhstan,,,,,,,,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.9,10.33,,,,,,,,,,,,,,,,,,,,,,2,2
404,Kenya,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3.22,,,,,,,,,,,,,,,,,,,,,,,
458,Malaysia,...,...,...,...,...,...,...,...,...,...,...,40.28,52.72,102.81,134.04,163.34,152.72,78.28,52.98,57.1,47.96,48.79,28.6,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3
608,Philippines,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,77161.19,283643.53,1992.77,2988.18,72.44,1072.04,2842.55,3577.32,,,,,,,,,,,,,,,,,,,,,,,
686,Senegal,...,...,...,...,...,...,...,...,...,...,464,414,670,872,1165,1541,2021,1259,1505,1801,2157,3084,4410,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4
710,South Africa,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,360,,,,,,,,,,,,,,,,,,,,,,,
800,Uganda,1602.26,1850.49,2000.71,2300.92,2427.25,2838.46,3030.17,3263.09,3544.22,3797.84,4218.32,4667.23,5680.75,6928.75,7703.4,8768.21,10059.6,11487.98,13027.17,15117.54,16473.21,17635.78,18547.04,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
804,Ukraine,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,12.9,6,5.9,8.2,6.4,7.2,4,4.1,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,5
834,United Republic of Tanzania,...,...,...,0.24,0.69,1.41,2.52,3.88,5.44,7.13,8.82,10.61,12.53,14.71,17.13,19.57,22.07,24.56,26.9,29.13,31.37,33.73,35.76,,,,,,,,,,,,,,,,,,,,,,,
716,Zimbabwe,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
